Date,Observe,Train,Test,Valid
2007-12-23,3092.4533333333334,2049.33251953125,,
2007-12-30,2419.94,1575.982666015625,,
2008-01-06,1956.625,1720.796875,,
2008-01-13,1690.4350000000002,1604.5511474609375,,
2008-01-20,1492.7780000000002,1348.7352294921875,,
2008-01-27,1210.74,1226.493896484375,,
2008-02-03,1420.476,963.2996826171875,,
2008-02-10,1441.5916666666665,1200.4736328125,,
2008-02-17,1138.7533333333333,1254.1671142578125,,
2008-02-24,1053.8780000000002,950.6503295898438,,
2008-03-02,1032.5000000000002,942.201171875,,
2008-03-09,923.0316666666666,922.746826171875,,
2008-03-16,965.7783333333333,871.89892578125,,
2008-03-23,1049.138333333333,948.7696533203125,,
2008-03-30,649.27,972.5064697265625,,
2008-04-06,667.2083333333333,529.9825439453125,,
2008-04-13,990.2800000000001,616.74365234375,,
2008-04-20,588.876,989.572509765625,,
2008-04-27,750.195,507.3229675292969,,
2008-05-04,993.9739999999999,744.2384033203125,,
2008-05-11,657.7066666666668,960.584228515625,,
2008-05-18,771.9483333333334,547.781494140625,,
2008-05-25,1010.316,814.0993041992188,,
2008-06-01,1070.6060000000002,985.7254638671875,,
2008-06-08,1141.33,1030.7354736328125,,
2008-06-15,1725.27,1179.383056640625,,
2008-06-22,2360.43,1719.79541015625,,
2008-06-29,14881.01,2390.90380859375,,
2008-07-06,18644.99,16144.76171875,,
2008-07-13,26764.11,19222.294921875,,
2008-07-20,27010.91,26992.681640625,,
2008-07-27,28101.0,27265.400390625,,
2008-08-03,32463.69,27375.06640625,,
2008-08-10,30951.99,34628.21875,,
2008-08-17,29805.96,31362.23046875,,
2008-08-24,43258.81,30112.646484375,,
2008-08-31,49784.04,44253.16015625,,
2008-09-07,49564.03,49527.53125,,
2008-09-14,41357.885,48539.63671875,,
2008-09-21,31151.8425,39270.0625,,
2008-09-28,20945.8,27874.86328125,,
2008-10-05,30082.53,20361.025390625,,
2008-10-12,29784.07,31324.908203125,,
2008-10-19,18517.31,28961.16796875,,
2008-10-26,14360.985,13881.0244140625,,
2008-11-02,10204.66,10525.955078125,,
2008-11-09,8770.76,6232.48681640625,,
2008-11-16,5774.095,8116.12451171875,,
2008-11-23,5497.172500000001,5500.37646484375,,
2008-11-30,5220.25,2701.3857421875,,
2008-12-07,4175.363333333335,3211.1708984375,,
2008-12-14,3463.3833333333328,2549.83203125,,
2008-12-21,3141.5200000000004,2549.3798828125,,
2008-12-28,2706.2140000000004,2245.471435546875,,
2009-01-04,2029.9900000000005,2161.4970703125,,
2009-01-11,2132.204,1713.8807373046875,,
2009-01-18,1628.9499999999998,1791.6141357421875,,
2009-01-25,1506.8749999999998,1262.9698486328125,,
2009-02-01,1534.3960000000002,1242.974365234375,,
2009-02-08,1294.6966666666667,1378.8792724609375,,
2009-02-15,1167.7166666666667,1023.0827026367188,,
2009-02-22,1033.9859999999999,1050.861083984375,,
2009-03-01,1004.9183333333334,889.9329223632812,,
2009-03-08,918.495,880.0455322265625,,
2009-03-15,922.628,862.0408935546875,,
2009-03-22,1046.56,836.7998046875,,
2009-03-29,755.8980000000001,984.420166015625,,
2009-04-05,687.3033333333333,657.1802978515625,,
2009-04-12,956.1949999999998,622.0389404296875,,
2009-04-19,702.38,949.4545288085938,,
2009-04-26,716.9499999999999,635.9473876953125,,
2009-05-03,1026.5116666666665,699.20361328125,,
2009-05-10,735.085,1011.5441284179688,,
2009-05-17,846.3366666666665,635.6559448242188,,
2009-05-24,942.2233333333334,860.37939453125,,
2009-05-31,1253.2083333333333,927.0823364257812,,
2009-06-07,2325.77,1220.3287353515625,,
2009-06-14,1836.56,2473.35986328125,,
2009-06-21,1718.82,1735.994873046875,,
2009-06-28,1605.56,1615.4708251953125,,
2009-07-05,1889.6,1617.9140625,,
2009-07-12,6324.07,1881.91650390625,,
2009-07-19,7615.425,6934.45166015625,,
2009-07-26,7606.0225,7741.25146484375,,
2009-08-02,7596.62,7292.08935546875,,
2009-08-09,18501.73,7515.814453125,,
2009-08-16,22258.91,19392.841796875,,
2009-08-23,26016.09,23353.84765625,,
2009-08-30,38600.84,26198.712890625,,
2009-09-06,35998.85,39755.3125,,
2009-09-13,24071.37,35023.32421875,,
2009-09-20,22560.82,23316.353515625,,
2009-09-27,19713.46,23021.431640625,,
2009-10-04,16866.1,19235.80859375,,
2009-10-11,15428.4375,17453.23046875,,
2009-10-18,13990.775,14890.5625,,
2009-10-25,12553.1125,10531.28515625,,
2009-11-01,11115.45,10319.8564453125,,
2009-11-08,9187.963333333333,9629.1474609375,,
2009-11-15,7260.476666666667,7601.2978515625,,
2009-11-22,5332.99,5987.21875,,
2009-11-29,4443.944166666666,4260.171875,,
2009-12-06,3554.898333333333,3528.23681640625,,
2009-12-13,2982.2433333333333,2742.96142578125,,
2009-12-20,2585.44,2143.408447265625,,
2009-12-27,2120.5566666666664,1834.536865234375,,
2010-01-03,1688.6359999999997,1385.064697265625,,
2010-01-10,1438.2033333333331,1182.92724609375,,
2010-01-17,1254.1466666666665,1065.9622802734375,,
2010-01-24,1166.863333333333,963.84033203125,,
2010-01-31,1060.1016666666667,957.5314331054688,,
2010-02-07,1042.345,871.0899658203125,,
2010-02-14,1018.7116666666666,869.2552490234375,,
2010-02-21,963.692,893.4450073242188,,
2010-02-28,930.0200000000001,860.701904296875,,
2010-03-07,826.4016666666666,858.6026000976562,,
2010-03-14,857.5116666666667,754.44384765625,,
2010-03-21,942.7279999999997,812.0939331054688,,
2010-03-28,700.1850000000001,917.726318359375,,
2010-04-04,493.0216666666666,630.0758666992188,,
2010-04-11,718.4583333333334,426.6551513671875,,
2010-04-18,705.6088888888889,700.8133544921875,,
2010-04-25,623.2199999999999,678.7808837890625,,
2010-05-02,901.6139999999999,596.7183837890625,,
2010-05-09,749.2266666666668,883.498046875,,
2010-05-16,686.065,661.649169921875,,
2010-05-23,876.7683333333334,664.4307861328125,,
2010-05-30,873.4219999999999,905.8431396484375,,
2010-06-06,985.78,829.0714721679688,,
2010-06-13,953.81,1007.790283203125,,
2010-06-20,1541.76,930.162353515625,,
2010-06-27,2129.71,1540.975341796875,,
2010-07-04,5415.705,2204.58349609375,,
2010-07-11,8701.7,5708.79443359375,,
2010-07-18,10224.79,9063.80859375,,
2010-07-25,11747.88,10229.919921875,,
2010-08-01,15825.656666666666,11852.466796875,,
2010-08-08,19903.433333333334,16174.9248046875,,
2010-08-15,23981.21,20620.015625,,
2010-08-22,22010.01,24729.27734375,,
2010-08-29,25492.06,21807.232421875,,
2010-09-05,39655.02,25402.65625,,
2010-09-12,40275.58,41339.73828125,,
2010-09-19,38922.13,40424.94140625,,
2010-09-26,38545.58,38310.109375,,
2010-10-03,38169.03,37598.171875,,
2010-10-10,27551.19,36935.35546875,,
2010-10-17,16933.35,27627.626953125,,
2010-10-24,14067.154999999999,15272.2275390625,,
2010-10-31,11200.96,12251.2060546875,,
2010-11-07,9276.0,9357.4521484375,,
2010-11-14,7351.04,7714.63330078125,,
2010-11-21,6365.23,4529.97802734375,,
2010-11-28,5007.16,2861.03369140625,,
